Tweet,Offensive
@JanZimmHHB @mopo Komisch das die Realitätsverweigerung immer von linken erbärmlichen Correctiv Accounts ausgeht...,OFFENSE
"@faznet @Gruene_Europa @SPDEuropa @CDU CDU steht seid Strauss, Kohl, Schäuble, vdLeyen für Korruption, Schwarzgeld, und dies überall...",OFFENSE
"@DLFNachrichten Die Gesichter, Namen, Religion der Täter würde zur Aufklärung beitragen...",OTHER
"@welt Wie verwirrt muss man sein um sich zu weigern die Tatsachen anzuerkennen, das dieser Hass von Ferkel importiert wurde....was bezweckt man damit sich selber so zu belügen, unverständlich",OFFENSE
"@hacker_1991 @torben_braga Weil die AfD den Ferkelfunk abschaffen will, deshalb haben die Linken Zecken, Schmarotzer Angst für ihr kacken arbeiten zu müssen, deshalb sind die Führer treu und senden jeden Dreck, Lüge...",OFFENSE
"@aktuelle_stunde Also beim Fall Birmingham, England war definitiv weniger Empörung, weniger Berichterstattung, wenn man ehrlich mit sich ist gab es gar keine im ÖRR, wenn doch ohne Hintergrundwissen, noch Recherche. WARUM?",OTHER
"@StZ_NEWS Aber bei läppischen 130.000 Euro der AfD den Welt, Demokratieuntergang herbei schreiben....wie süß",OTHER
@StZ_NEWS Schäuble wird wissen woher dieses Nazi Geld kommt....FJS hatte doch auch glasige Augen vor Freude wenn vom Führer die Rede war..,OFFENSE
"@welt Komisch, wäre dieser Betrug in der Nähe der AfD passiert wäre eine andere Empörung erkennbar, so aber da es Ferkel und Co trifft werden Baueropfer präsentiert...",OFFENSE
"@investigativ_de @welt @Tim_Roehn @ChSchweppe Und alle Wege führen zu von der Leyen, was dann verwundert das die immer noch im Amt ist, wobei, im Konstrukt BRD normal, da dieses Konstrukt nicht mehr vorgibt eine Demokratie zu sein...",OFFENSE
"@rbbabendschau Nun, Eigentum verpflichtet, das Maximale aus diesem heraus zu holen, und die Politik tanzt passend dazu, singt das Lied der Mieterverarschungsbremse, und glotzen wichtig in jede Ferkelfunk Kamera...",OFFENSE
"@ZDFheute Birmingham hatte eine ganz andere Klasse, da war aber weniger Empörung im Ferkelfunk, falsche Täter Klientel...wie auch Wiesbaden, Korruption bei CDU SPD, und lautes Schweigen im Ferkelfunk, seltsam...ach weil es nicht die AfD ist",OFFENSE
"@BR24 Wie viele werden durch Gas Unfälle getötet, und wie viele im Strassenverkehr? Aber Sensation bringt klicks...",OTHER
"@handelsblatt @AnjaKarliczek @AndreaNahlesSPD Da war Nahles lange nicht in den Medien, was soll man sagen, schöner wurde die dadurch nicht...",OFFENSE
"@focusonline Wie war noch der Stasi Auftrag von Ferkel, jeden der nicht die Ferkel Meinung vertritt lächerlich, mundtot machen, wie sich zeigt macht die Ferkel Presse genau das....",OFFENSE
"@ZDFhannover Und das ist das Baueropfer welches für Von der Leyen über die Klinge springen musste, damit man den Dreck auf eine Person abladen kann, und von der Leyen aus den Medien gehalten werden kann, es ist so billig und durchschaubar, klar das die Ferkelmedien es verbreiten",OFFENSE
"@hessenschau Komisch, wäre es die AfD gebe es schon Meldungen bei der Lügenschau, Tagesverarsche, Heuteglaubteskeiner, hier nur ein regionales Ereignis bei einem unwichtigen Sender der keine Reichweite noch Glaubwürdigkeit besitzt, schon erstaunlich wie Stasi Seilschaften funktionieren",OFFENSE
"@welt Wenn sie noch eine Nazi Keule brauchen, IM ERIKA hat noch eine im Schrank....",OFFENSE
"@RegSprecher @peteraltmaier Wie der widerliche Lügenr sich wohl rasiert, der kann sich doch niemals selber in die Augen schauen ohne sich selbst ankotzen zu müssen....Alleine 976 Milliarden Euro Target 2 Salden strafen diesen Heuchler Lügen...",OFFENSE
"@NDRnds Wie schön das die Gefängnisse Rekordumsätze vermelden, das wird Ferkel besonders freuen wenn es sich um ihre Fachkräfte handelt, hier lebenslang, wo anders 10 Jahre, Jungfernstieg auch lebenslang, und alle anderen importierten Mörder, das summiert sich....aber 87% wollen das so",OFFENSE
"@de_sputnik @MarcelJoppa Wäre die BRD eine Demokratie vielleicht, so nicht...",OFFENSE
"@polizei_nrw_ge Genau der Piotoitsche Gelsenkirchener...wie gut das der Stempel noch frisch ist, dann kann man das toitsch sein sogar noch riechen...",OFFENSE
@ZDFheute Wer hat den die Heulsuse ausgebuddelt...,OFFENSE
"@SWRAktuellBW Warum löst man nicht sofort diese Gerichte auf, wenn die nicht bereit sind Urteile zu fällen, nennt sich unnütze Fresser...",OFFENSE
"@Tagesspiegel Da Berlin Schmarotzer und Nehmerland ist, haben es die Geberländer bezahlt, na die freuen sich...",OFFENSE
"@TAG24LE Wenn sich Linke Linke zu Feinden machen, haben Linke linke Feinde...",OTHER
"@NDRsh @ndr Nun, weil vdLeyen das Schmeirgeld wie Schäuble nicht zurück zahlen will, und sich dadurch erpressbar gemacht hat, wenn die Summen, Spender AUSVERSEHEN an die Öffentlichkeit gehen, Wahrheit geht so einfach und tut Nachricht weh...liebster Ferkelfunk",OFFENSE
"@SWRAktuellBW Ein anderer hat eine 63 Jährige umgebracht, 10 Jahre Haft, die Gefängnisse füllen sich recht schnell mit Ferkels Gästen....",OFFENSE
"@NDRinfo Nun, wie auch Schäuble will vdLeyen das Schwarzgeld nicht zurück geben welches zu ihrer Erblindung geführt hat...",OFFENSE
"@ksta_news @seawatch_intl Liebste Lügenprese, die von der Seawatch GESCHLEUSTEN Migranten dürfen an Land, muss es heißen....",OFFENSE
"@faznet In England, Birmingham war mehr Täter, Missbrauch, aber weit weniger Empörung, WARUM?",OTHER
"@MDRAktuell Warum heißt es hier \""""Flüchtlinge\"""", aber bei den drei Terror Verdächtigen \""""Männer\"""", allerliebster Ferkelfunk...",OFFENSE
"@ZDFheute Warum heißt es hier \""""Flüchtlinge\"""", aber bei den drei Terror Verdächtigen \""""Männer\"""", liebster Ferkelfunk?",OFFENSE
"@bpol_pir @PolizeiSachsen Warum wird hier ein Fass aufgemacht? Denen passiert doch nichts, die bekommen den All inclusiv Urlaub in der BRD Hängematte, werden weder abgeschoben, oder inhaftiert, was also soll dieser Blödsinn hier? Volksverarsche?",OFFENSE
"@ZDFheute @seawatchcrew Komisch, wenn diese Klientel unter Terror Verdacht verhaftet wird werden die \""""Männer\""genannt, entsteigen die aber nach der Erpressung ein Schiff sind es \""""Geflüchtete\""""...schon seltsam wie sich Rassen weiter entwickeln",OFFENSE
"@MDRAktuell Früher hätte nur ein solcher Verdacht ausgereicht das zurück getreten wird, aber da gab sich die BRD noch den Anschein eine Demokratie zu sein....",OFFENSE
"@SPIEGELONLINE Ach den gibt es auch noch, war so schön still um den...",OFFENSE
"@SWRAktuell @AndiScheuer Die Höhe des Gehalts wenn Scheuer Bahn Vorstand wird, was sonst....",OFFENSE
"@StZ_NEWS Weil nach 80 Jahren der Rosenthal Plan umgesetzt, und die BRD in ein Agrar, Siedlungsland umgebaut wird, deshalb, da braucht es nur Traktoren, kaum PKW....",OFFENSE
"@WDR Hm, dürfte sich um Nachahmungstäter handeln, die wurden durch England, Birmingham inspiriert, komisch nur dass dies hier Empörung losschlägt, Birmingham vom Ferkelfunk unterschlagen wurde...seltsam seltsam...",OFFENSE
"@rawnezz_picture @ZDFnrw @polizei_nrw_lip @ZDFheute Warum genau sollte jemanden der Selber Denkt die Meinung von Etwas wie sie darstellen interessieren, einem widerlichen Rassisten dem selbst der Name zur Diffamierung herhalten muss? Sie sind der verkappte Herrenmensch....",OFFENSE
"@ZDFnrw @polizei_nrw_lip @ZDFheute In Birmingham, England war das Ausmass weit schlimmer, mehr Täter, weit mehr Opfer, nur die Empörung im Ferkelfunk war wegen falscher Täter Klientel geringer...WARUM?",OFFENSE
"@dpa @berlinerzeitung In Birmingham, England waren es mehr Täter, mehr Missbrauch, aber weit weniger Empörung in den Ferkel treuen Medien, muss wohl an der Täter Klientel liegen, böser Täter, toitscher, guter Täter nicht toitscher Täter....deshalb Einzelfall ohne Bedeutung, Kulturell Bedingt",OFFENSE
@La_Pebbles_ @mz_quedlinburg @mzwebde Warum sollte mich ihre Meinung am Arsch kratzen....,OFFENSE
"@fr 14 Jahre Ferkel stehen für Erfolg, Erfolg, Erfolg, in der Stasi, und von Honecker gelernt...deshalb muss es heißen das Plansoll wurde angepasst...",OFFENSE
"@tagesschau Wer weiß woher das Fax wirklich kam....einer gewissen Sekte gefällt es in der Opferrolle bis die die Mehrheit stellt, deshalb immer Taqiyya im Hinterkopf halten, Faxe sind so schnell verschickt. Klar das der Ferkelfunk es als erwiesen ansieht...",OFFENSE
@morgenpost @harbarth ik hör dir tapsen...die Entscheidung liebster Gutmensch wird für sie richtig teuer....aber so richtig,OFFENSE
"@Grablicht @mz_quedlinburg @mzwebde Heul leise, hören sie mein Lachen ob ihrer \""""Empörung\""besser....herrlich, und nun stellen sie ihre Adresse online, es werden zehn \""""Gerettete\"""" vor ihre Haustür gestellt, sie versorgen die, integrieren die, bezahlen deren Leben, Dankööö, allerliebster glaubwürdigster Gutmensch",OFFENSE
@mz_quedlinburg @mzwebde Warum genau muss man dahin fahren?,OTHER
"@SPIEGELONLINE Nun, dann sind es wie bei der von Ferkel importierten Gewalt, Mörder, nur eine Anreihung von vielen Einzelfällen, also nicht schlimm, das muss man tolerieren, verstehen, Einzeltäter, psychisch Krank, also die Empörung runter fahren....",OFFENSE
"@BR24 Ferkel schloss auch eine PKW Maut aus, und das Mörder, Verbrecher mit der Invasion ins Land kommen, also was soll das Wort von einem solchen für einen Wert haben...",OFFENSE
"@polizei_nrw_do Und die \""""Dame\""ist wieder frei, kaut was das Zeug hält, und pisst sich immer noch über ihre \""""verhaftung\"""" in die Buchse....aber so süß was hier als Erfolg gefeiert wird...",OFFENSE
"@AWidmannMauz @RegSprecher @BMI_Bund @BMAS_Bund Nun, #wittenburg zeigt die Folgen von Gutmenschentun, oder #jena #badkreuznach #jungfernstieg #freiburg #würzburg und überall dort wo die von Ferkel importierte Gewalt ihr Blutiges Gesicht zeigt, aber süß wie hier weiter Nazi Propaganda gleich Stimmung gemacht wird....Heil Ferkel",OFFENSE
"@SPIEGELONLINE Früher als sich die BRD nach den Anschein einer Demokratie gab wäre vdLeyen vom Hof gejagt worden, Heute in Zeiten der Stasi passiert nichts, auch weil die Medien Führer treu berichten, verharmlosen...",OFFENSE
"@zeitonline Süß wenn Führer Treue Propaganda ein Thema komplett verzerrt, einseitig betrachtet....wer sich Taten wie auf den Philippinen anscbaut weiß warum es kein Populismus ist, sondern Reale Gefahr....aber Ferkelmedien machen wozu geschaffen",OFFENSE
"@PolizeiUFR Bestimmt nur ein Gefühl das es seit 09/2015 zu mehr Brandstiftungen kommt, so voll Nazi...",OFFENSE
"@polizeiberlin Hm, stinkt genauso nach Lüge wie die PKS, in der 2017 55.000 Liegevermerke für Strafanzeigen nicht auftauchen, warum sollte hier weniger durch die Behörden gelogen, verfälscht werden....",OFFENSE
"@slart_bart Ja, weil auch Blöde, wie Sie?, irgendwann erkennen müssen was Ferkel importiert hat, aber bei ihnen ist es verlorenes Hoffen, ihr Tweet zeigt welch Geistes Kind sie sind, sie sind so Dumm wie die die 1933 ohne eigenes Denken dem Führer gefolgt sind, es traf ja nur die Nachbarn...",OFFENSE
@abendblatt Welcher Herkunft der Häftling hat braucht nicht extra erwähnt werden....ein Goldstück,OFFENSE
"@tagesschau Und liebster Ferkelfunk, zufrieden, hat der Führer mit einem Lächeln reagiert das sich seine Gäste so Dankbar zeigen, weiß Ferkel immer noch nicht was sie ändern täte, in Frankfurt wurde ein Rabbi geschlagen, ein 48 Jähriger der Helfen wollte schwer verletzt, Täter......",OFFENSE
"@FRlokal Und in der Polizei Statistik wird dieser Fall als Toitsch Rechts gewertet, so viel dazu was eine Statistik welche gewollt gefälscht wird wert ist, NICHTS, und was wird der Täter bekommen, Bewährung, Geldstrafe, mehr nicht, siehe Berlin, Gürtel, aber die Opfer leiden lebenslang",OFFENSE
"@morgenmagazin Man könnte auch den Weltfrieden fordern, ist Realistischer...",OTHER
@katjaberlin @DIEZEIT Die Muschi will halt mehr Aufmerksamkeit...,OFFENSE
"@ZDFheute Nun 14 Jahre Ferkel müssen sich ja irgendwo als Erfolg zeigen....schön das die Propaganda nichts verwerfliches daran findet, und wie schon die Nazi Propaganda Tatsachen emotionslos Verkündet!",OFFENSE
"@BR24 @MVGticker Ein Paradies für von Ferkel importierte Taschendiebe...think positive, es gibt immer Proviteure",OFFENSE
"@NDRnds Welche Politische Partei steht hinter dem Ausschluss, die AfD kann es nicht sein, dann wäre dies schon in der Überschrift dreimal erwähnt worden....",OFFENSE
"@Polizei_MSE Der Skandal ist aber das dieser Mörder eine sehr geringe Strafe bekommen wird, und sogar seinen Führerschein wieder bekommen, der hat seine Untauglichkeit bewiesen, Lebenslängliches Fahrverbot, und den Schaden muss der auch komplett bezahlen, zur Not mit Zwangsarbeit!",OTHER
"@faznet @berlinale Kann es sein das hier auf infamster Weise der Holocaust missbraucht, dieser als Werbung benutzt wird, JA",OTHER
"@tagesschau Und dann nimmt das da daran Teil, muss Satire Mittwoch sein, es geht nur weiter darum Steuergeld zu veruntreuen, offen Diebstahl zu begehen, wer sich die Verpflechtung Industrie, Politik anschaut weiß wie es läuft....aber süß wie die Ferkelmedien Führer treu \""""berichten\""",OFFENSE
"@MDRAktuell Es gibt nicht \""""islamistisch\"""", eine Erfindung des Westen um abzulenken, sich die Gefahr schön zu reden, aber süß wie die Ferkelmedien, Presse diese Lüge weiter aufrecht erhält, the Führer is very amused...",OFFENSE
@morgenpost Das ist eine Sie? Mh...,OFFENSE
"@NDRinfo @NDRsh Komisch, sonst heißt diese Klientel beim Ferkelfunk immer, \""""Flüchtlinge\"""", \""""Schutzsuchende\"""", \""""Asylbewerber\"""", warum hier nicht? Warum werden die hier mit Männer beschrieben? Gibt es Bilder von denen als Kinder mit großen Augen welche gezeigt werden können? Ach der Ferkelfunk....",OFFENSE
"@NDRinfo @NDRsh Na solche Nachrichten werden die Welcome Klatscher vor Freude ejakulieren lassen, genau das was die gewollt haben trifft ein....",OFFENSE
@BR_Oberbayern Kontrolliert dort auch der TÜV SÜD die Gleisanlagen?,OTHER
"@DLFNachrichten Und wer hat diese mutmaßlichen Mörder, Terroristen in die BRD geschleust, denen mit Hilfe der Medien Tor und Tür geöffnet, na, versuchen sie es, nennen sie Ferkel beim Namen, den Spaltkeil der BRD, EU, Gesellschaft....seinen sie nicht Treu wie die Nazi, Stasi Propaganda..",OFFENSE
"@Rainer_Geyer @MexCybill @morgenpost Danke aber stinkende Correctiv Accounts werden in der Geschichte entsorgt, dahin woher dieser Stasi Dreck gekrochen ist...",OFFENSE
"@heutejournal Wenn man von seinem Versagen ablenken muss lobt man alles und jeden über den Klee, wie man sieht klappt dies bei der Führer hörigen Slmoka perfekt...keine Frage zur Verantwortung, nichts....",OFFENSE
"@faznet Wird wie bei Ferkel oder von der Leyen sein, passende Richter, passende Urteile....",OFFENSE
"@ma_kuse @SWRAktuellBW In #Wiesbaden war auch irgendetwas mit Rücktritt, da war doch was, hatte etwas mit Korruption, Betrug zu tun, nur welche Parteien sind da beiliegt, sie können doch bestimmt helfen, so als echter Führer treuer Hetzer.....",OFFENSE
"@Potpueree Anstatt sich hier als Rechtschreibnazi zu outen hätten sie sich mit Googeln informieren können, was beweist das sie nicht nur Dumm sind, sondern ein Vollidiot, und meiner nicht Wert sind, sie langweilen, ekeln mich, wie alles dumme...",OFFENSE
"@Carsten_Otten @welt Dummheit ist Personen bezogen, bei ihnen in großer Form....",OFFENSE
"@MexCybill @morgenpost Dann lesen sie es doch nicht, so als dressierter Führer treues etwas, welches wie schon 1933 dem Führer ohne eigenes Denken folgt, und laut schreit wie es der Führer will, KAUFT NICHT BEI..... mit etwas wie ihnen war die Zeit 33-45 kein Problem, dressiert und dumm",OFFENSE
"@_helloyara_ @ZDF Ja in Stendal, da es aber die CDU betraf hatte der Ferkelfunk, ups, natürlich die Stasi Propaganda, ups, äh, der ÖRR dieses Thema sehr dezent behandelt, sprich verleugnet, so wie auch jetzt Wiesbaden, Rücktritte wegen Korruption, SPD CDU, Stillschweigen das es Schreit...",OFFENSE
"@Potpueree Wenn sie es nicht verstehen zeigt es das sie zu Dumm sind, so lohnt auch kein Erklären sie sind strunz Dumm. ..",OFFENSE
"@miguel_alemania @HAZ @hannover Es braucht einen IQ über 85 um es zu verstehen, was sie disqualifiziert, da geht auch kein erklären, sie sind einfach zu Dumm",OFFENSE
"@fr #jungfernstieg vergessen und wer sich die Polizei Berichte antut weiß wie es um die importierte Toitschenfeindlichkeit bestellt ist, Danke liebe @fr das sie das Thema auch gegen den Willen von Ferkel aufgreifen!",OFFENSE
"@NDRinfo Ist und bleibt im Amt, was der eigentliche Skandal ist, aber in einem Konstrukt wie der BRD normal....",OFFENSE
"@welt Wie zerstört man am effektivsten die Zukunft eines Landes? Mh, mal überlegen, man zerstört den einzigen Rohstoff des Landes, die Intelligenz, die Innovation, den Erfindungsreichtum...was soll man sagen Ferkel kann sagen Ziel vollkommen erreicht...",OFFENSE
"@Klages_an @Tagesspiegel @KitakriseBerlin Wie auch das Video des BAMF was weiter für die Invasion, Asyl Missbrauch in der BRD wirbt...",OFFENSE
"@TAG24FFM Und einen Tag später ist der wieder da, stellt einen Asyl Antrag und pisst sich vor Lachen über den blöden Michel in die Buchse....herrlich",OFFENSE
"@Abendzeitung Und von diesen \""""Männern\""hat Ferkel hunderttausende importiert....ist das nicht schön",OFFENSE
"@ZDFhannover Und es gab mal eine Zeit da hätte jemand dafür Verantwortung getragen, aber da war das Konstrukt BRD noch als Alibi eine Demokratie....",OFFENSE
"@TichysEinblick Der Rosenthal Plan von 1945 nimmt Formen an, ein Agrar, Siedlungs Staat mit blühenden Landschaften, passt doch, IQ wird reduziert, die Industrie zerstört, die Infrastruktur vernachlässigt, usw alles wie es der Rosenthal Plan vorsah...Läuft",OFFENSE
@BR_Presse Ein Konstrukt wie die BRD die nach dem Rosenthal Plan umgestaltet wird spielt Bildung keine Rolle....,OFFENSE
"@faznet Was ist eigendlich aus der Aufarbeitung der Invasion welche von Ferkel eingeleitet wurde geworden. Man liest gar nichts darüber, alles Geheim?",OFFENSE
"@bpol_air_fra @Polizei_Ffm Lieber nicht, man wird so schnell Rassist, Fremdenfeindlich genannt wenn es der \""""Falsche\""richtige Täter ist, deshalb Augen zu, lächeln und genießen....sie wissen schon nur ein unerkannter Spitzel ist ein guter IM ERIKA...",OFFENSE
@mopo Hier die echten 10 Gründe 1.Nahles 2.Nahles 3.Nahles 4.Nahles 5.Nahles etc pp...Stegner ist auch schön,OTHER
@bzberlin Klar dass dies den linken Missfällt....,OTHER
@MobyNikk @welt Macht endlich diesen umweltheinis einen heißen Hintern da können sie in dem wüstenstad die Umwelt messen die scwachköpfe die die Welt retten wollen.,OFFENSE
@Rabid_Glow Diese ganze Umwelt scheiße mann kann es nicht mehr hören das sind alles Grüner Sumpf und Schwachköpfe die sich von Steuergeldern finanzieren es kostet Arbeitsplätze die Städte sterben aus und dieser Unsinn hat noch Nahrung von den man darf es nicht mehr aussprechen.,OFFENSE
@Kri_Fri @welt @tomvitzthum Seien Sie froh das es nichts geben hat in der CSU und SPD brauchen sie keinen der Hirn hat das ist für die eine Gefahr den die haben kein Hirn.mann sieht es immer wieder am tun was sie beschließen Nur Müll,OFFENSE
@RolandTichy Die sollten sie nach Syrien schicken da kann sie jeden Tag dummes Zeug labern mit der Einstellung hat sie in Deutchland nichts zusuchen,OFFENSE
@focusonline die spinnen man die industrie hat doch macht schießt diese kranken umweltdeppen in den wind sie ruienieren deutschland fast alles hat schon Merkel geschafft und der rest schaffen die idioten<U+0001F692><U+0001F692>speert sie ein,OFFENSE
@spdde Die SPD soll sich selber ausschließen Nahles und manche bringen nur Mist auf den Tisch.die Menschen die die Wahrheit sagen sind unbequem das ist diese Politik die Deutschland ruiniert. Für jeden töten Deutschen muss ein Politiker zur Verantwortung gezogen werden.muss.,OFFENSE
"@welt @cem_oezdemir Die ganze Politik von Grünen und anderen Parteien CDU SPD sind alles Menschen die eigendlich die Deutsche Bevölkerung für dumme hält Irrtum, euch zeigen wir noch wo es lang geht. Die Umwelt rantasten und Asylanten Fürsprecher werden dafür noch büßen.",OFFENSE
erkel will mit aller kraft Deutschland zu vernichten Sie ist nicht mehr Herr ihrer Sinne .,OFFENSE
@_A_K_K_ @CDU @jensspahn @_FriedrichMerz Die CDU muss für den packt und die betrügerische Wahl karrenbauer muss absteigen auf 12% Überall sind die Regierungen gegen den packt Deutschland wird von irren in den Abgrund gerissen.,OFFENSE
@vmedick @SPIEGELONLINE @DerSPIEGEL Die Nahles sollte endlich verschwinden dumme Akumemte kein klarer Inhalt in ihren dummen Reden,OFFENSE
@zeitonline_pol Last uns das nicht einreden natürlich gab es schon immer Faschismus und rechts radikale das war schon immer jetzt wird das benutzt die Menschen zu verunsichern sie brauen einen BU Mann dabei haben wir alle ohne die Gutmenschen Gerechtigkeit.,OFFENSE
@welt Wenn es erlich ist und nicht zum vorteil der Politik haben wir nichts gegen die MEDIEN,OTHER
@RolandTichy Alle bitte wir können das nicht mehr ertragen,OTHER
@claudia_kade @welt Der bundespdräsident was soll Mann sagen SPD mehr gibt's nicht.wir hatten mal mehr davon gehalten.,OTHER
@SPIEGELONLINE Mann kann es nicht mehr hören sie klammern sich an den Stuhl Frau Nahles es wird nichts.,OTHER
@spdbt Wir haben festgestellt das die Regierung nicht nur die Presse dirigiert sondern auch soziale Netzwerk zb Facbook man kann nicht mehr seine Meinung schreiben wird gleich gesperrt. Erinnert mich an die DDR.,OFFENSE
@spdde Diese Höhle SPD Und besonders Nahles die stützt die SPD in die absolute Tiefe.,OFFENSE
@SPIEGEL_Politik Er hat es richtig gemacht den Maassen hatte Recht wir werden für Dumm verkauft die wollen uns für Dümmlich verkaufen leider haben wir in Deutschland mehr Speichellecker wie in anderen Ländern Italien Österreich Ungarn Schweden und es hier geht alles den Bach runtet,OFFENSE
Südländer überfallen 22-jährigen in Neunkrichen es gibt keine andere Wahl wir sehen die Jetzigen interessiert doch gar nicht was jeden Tag passiert wir können uns nicht in unserem Land ausrauben überfallen zusammen schlagen Ermorden und Vergewaltigen lassen.,OFFENSE
